年,週,就診類別,年齡別,縣市,腸病毒健保就診人次,健保就診總人次
2008,14,住院,15+,南投縣,0,139
2008,14,住院,15+,屏東縣,0,509
2008,14,住院,15+,苗栗縣,0,147
2008,14,住院,15+,桃園市,0,2068
2008,14,住院,15+,高雄市,0,1987
2008,14,住院,15+,基隆市,0,388
2008,14,住院,15+,連江縣,0,4
2008,14,住院,15+,雲林縣,0,254
2008,14,住院,15+,新北市,0,1524
2008,14,住院,15+,新竹市,0,404
2008,14,住院,15+,新竹縣,0,138
2008,14,住院,15+,嘉義市,0,289
2008,14,住院,15+,嘉義縣,0,563
2008,14,住院,15+,彰化縣,0,1295
2008,14,住院,15+,澎湖縣,0,6
2008,14,住院,3-4,台中市,0,77
2008,14,住院,3-4,台北市,1,112
2008,14,住院,3-4,台東縣,0,3
2008,14,住院,3-4,台南市,0,12
2008,14,住院,3-4,宜蘭縣,0,30
2008,14,住院,3-4,花蓮縣,1,8
2008,14,住院,3-4,金門縣,0,5
2008,14,住院,3-4,南投縣,0,2
2008,14,住院,3-4,屏東縣,0,6
2008,14,住院,3-4,桃園市,0,73
2008,14,住院,3-4,高雄市,0,47
2008,14,住院,3-4,基隆市,0,4
2008,14,住院,3-4,雲林縣,0,1
2008,14,住院,3-4,新北市,0,32
2008,14,住院,3-4,新竹市,1,26
2008,14,住院,3-4,新竹縣,0,7
2008,14,住院,3-4,嘉義市,0,13
2008,14,住院,3-4,嘉義縣,0,18
2008,14,住院,3-4,彰化縣,2,50
2008,14,住院,5-9,台中市,1,98
2008,14,住院,5-9,台北市,2,141
2008,14,住院,5-9,台東縣,0,9
2008,14,住院,5-9,台南市,0,14
2008,14,住院,5-9,宜蘭縣,0,28
2008,14,住院,5-9,花蓮縣,0,17
2008,14,住院,5-9,金門縣,0,3
2008,14,住院,5-9,南投縣,0,1
2008,14,住院,5-9,屏東縣,1,15
2008,14,住院,5-9,苗栗縣,0,1
2008,14,住院,5-9,桃園市,0,80
2008,14,住院,5-9,高雄市,1,66
2008,14,住院,5-9,基隆市,0,15
2008,14,住院,5-9,連江縣,0,1
2008,14,住院,5-9,新北市,0,29
2008,14,住院,5-9,新竹市,0,19
2008,14,住院,5-9,新竹縣,0,5
2008,14,住院,5-9,嘉義市,0,7
2008,14,住院,5-9,嘉義縣,0,21
2008,14,住院,5-9,彰化縣,1,71
2008,14,門診,0-2,台中市,83,18008
2008,14,門診,0-2,台北市,41,9371
2008,14,門診,0-2,台東縣,13,926
2008,14,門診,0-2,台南市,75,10781
2008,14,門診,0-2,宜蘭縣,7,2426
2008,14,門診,0-2,花蓮縣,11,1517
2008,14,門診,0-2,金門縣,3,398
2008,14,門診,0-2,南投縣,25,2894
2008,14,門診,0-2,屏東縣,58,4267
2008,14,門診,0-2,苗栗縣,16,3244
2008,14,門診,0-2,桃園市,53,12449
2008,14,門診,0-2,高雄市,85,14331
2008,14,門診,0-2,基隆市,12,1664
2008,14,門診,0-2,連江縣,0,26
2008,14,門診,0-2,雲林縣,37,4514
2008,14,門診,0-2,新北市,70,17182
2008,14,門診,0-2,新竹市,12,2723
2008,14,門診,0-2,新竹縣,13,2781
2008,14,門診,0-2,嘉義市,17,2702
2008,14,門診,0-2,嘉義縣,13,1620
2008,14,門診,0-2,彰化縣,35,8971
2008,14,門診,0-2,澎湖縣,4,612
2008,14,門診,10-14,台中市,10,22472
2008,14,門診,10-14,台北市,10,15293
2008,14,門診,10-14,台東縣,2,1254
2008,14,門診,10-14,台南市,13,12542
2008,14,門診,10-14,宜蘭縣,3,3171
2008,14,門診,10-14,花蓮縣,0,1931
2008,14,門診,10-14,金門縣,0,454
2008,14,門診,10-14,南投縣,1,3720
2008,14,門診,10-14,屏東縣,8,5419
2008,14,門診,10-14,苗栗縣,5,3447
2008,14,門診,10-14,桃園市,6,13837
2008,14,門診,10-14,高雄市,34,18124
2008,14,門診,10-14,基隆市,0,2435
2008,14,門診,10-14,連江縣,0,40
2008,14,門診,10-14,雲林縣,6,5098
2008,14,門診,10-14,新北市,22,24134
2008,14,門診,10-14,新竹市,2,2911
2008,14,門診,10-14,新竹縣,4,2895
2008,14,門診,10-14,嘉義市,4,3279
2008,14,門診,10-14,嘉義縣,3,2520
2008,14,門診,10-14,彰化縣,5,9949
2008,14,門診,10-14,澎湖縣,1,974
2008,14,門診,15+,台中市,21,331008
2008,14,門診,15+,台北市,11,318422
2008,14,門診,15+,台東縣,0,22081
2008,14,門診,15+,台南市,29,230950
2008,14,門診,15+,宜蘭縣,3,50027
2008,14,門診,15+,花蓮縣,1,39800
2008,14,門診,15+,金門縣,0,5876
2008,14,門診,15+,南投縣,3,56279
2008,14,門診,15+,屏東縣,5,99487
2008,14,門診,15+,苗栗縣,2,55783
2008,14,門診,15+,桃園市,19,188347
2008,14,門診,15+,高雄市,29,348509
2008,14,門診,15+,基隆市,3,42354
2008,14,門診,15+,連江縣,0,771
2008,14,門診,15+,雲林縣,0,83321
2008,14,門診,15+,新北市,15,328117
2008,14,門診,15+,新竹市,0,45704
2008,14,門診,15+,新竹縣,1,38834
2008,14,門診,15+,嘉義市,3,56634
2008,14,門診,15+,嘉義縣,5,48474
2008,14,門診,15+,彰化縣,2,143389
2008,14,門診,15+,澎湖縣,0,18397
2008,14,門診,3-4,台中市,55,16842
2008,14,門診,3-4,台北市,47,9822
2008,14,門診,3-4,台東縣,14,802
2008,14,門診,3-4,台南市,70,10252
2008,14,門診,3-4,宜蘭縣,19,2380
2008,14,門診,3-4,花蓮縣,6,1472
2008,14,門診,3-4,金門縣,0,342
2008,14,門診,3-4,南投縣,18,2798
2008,14,門診,3-4,屏東縣,56,4184
2008,14,門診,3-4,苗栗縣,17,2860
2008,14,門診,3-4,桃園市,53,11001
2008,14,門診,3-4,高雄市,114,13138
2008,14,門診,3-4,基隆市,10,1492
2008,14,門診,3-4,連江縣,0,34
2008,14,門診,3-4,雲林縣,38,4646
2008,14,門診,3-4,新北市,85,17606
2008,14,門診,3-4,新竹市,8,2449
2008,14,門診,3-4,新竹縣,7,2571
2008,14,門診,3-4,嘉義市,6,2479
2008,14,門診,3-4,嘉義縣,6,1737
2008,14,門診,3-4,彰化縣,37,8680
2008,14,門診,3-4,澎湖縣,0,605
2008,14,門診,5-9,台中市,69,37462
2008,14,門診,5-9,台北市,100,23780
2008,14,門診,5-9,台東縣,15,1585
2008,14,門診,5-9,台南市,82,21377
2008,14,門診,5-9,宜蘭縣,16,4688
2008,14,門診,5-9,花蓮縣,9,3065
2008,14,門診,5-9,金門縣,1,684
2008,14,門診,5-9,南投縣,18,6120
2008,14,門診,5-9,屏東縣,50,8562
2008,14,門診,5-9,苗栗縣,17,6031
2008,14,門診,5-9,桃園市,76,25376
2008,14,門診,5-9,高雄市,157,30300
2008,14,門診,5-9,基隆市,7,3810
2008,14,門診,5-9,連江縣,0,77
2008,14,門診,5-9,雲林縣,29,9300
2008,14,門診,5-9,新北市,80,42047
2008,14,門診,5-9,新竹市,18,5721
2008,14,門診,5-9,新竹縣,12,5544
2008,14,門診,5-9,嘉義市,9,5605
2008,14,門診,5-9,嘉義縣,13,4287
2008,14,門診,5-9,彰化縣,32,17296
2008,14,門診,5-9,澎湖縣,7,1325
2008,15,住院,0-2,台中市,3,189
2008,15,住院,0-2,台北市,3,329
2008,15,住院,0-2,台東縣,0,30
2008,15,住院,0-2,台南市,0,34
2008,15,住院,0-2,宜蘭縣,0,66
2008,15,住院,0-2,花蓮縣,1,28
2008,15,住院,0-2,金門縣,0,9
2008,15,住院,0-2,南投縣,0,5
2008,15,住院,0-2,屏東縣,0,38
2008,15,住院,0-2,苗栗縣,0,1
2008,15,住院,0-2,桃園市,2,231
2008,15,住院,0-2,高雄市,1,177
2008,15,住院,0-2,基隆市,0,21
2008,15,住院,0-2,雲林縣,0,1
2008,15,住院,0-2,新北市,0,86
2008,15,住院,0-2,新竹市,0,55
2008,15,住院,0-2,新竹縣,0,20
2008,15,住院,0-2,嘉義市,0,25
2008,15,住院,0-2,嘉義縣,0,37
2008,15,住院,0-2,彰化縣,6,146
2008,15,住院,10-14,台中市,0,60
2008,15,住院,10-14,台北市,0,82
2008,15,住院,10-14,台東縣,0,6
2008,15,住院,10-14,台南市,1,12
2008,15,住院,10-14,宜蘭縣,0,17
2008,15,住院,10-14,花蓮縣,0,12
2008,15,住院,10-14,金門縣,0,1
2008,15,住院,10-14,南投縣,0,3
2008,15,住院,10-14,屏東縣,0,11
2008,15,住院,10-14,桃園市,0,53
2008,15,住院,10-14,高雄市,0,66
2008,15,住院,10-14,基隆市,0,6
2008,15,住院,10-14,雲林縣,0,3
2008,15,住院,10-14,新北市,0,21
2008,15,住院,10-14,新竹市,0,6
2008,15,住院,10-14,新竹縣,0,1
2008,15,住院,10-14,嘉義市,0,6
2008,15,住院,10-14,嘉義縣,0,12
2008,15,住院,10-14,彰化縣,0,34
2008,15,住院,15+,台中市,0,4574
2008,15,住院,15+,台北市,1,7989
2008,15,住院,15+,台東縣,0,360
2008,15,住院,15+,台南市,0,1734
2008,15,住院,15+,宜蘭縣,0,1033
2008,15,住院,15+,花蓮縣,0,783
2008,15,住院,15+,金門縣,0,45
2008,15,住院,15+,南投縣,0,243
2008,15,住院,15+,屏東縣,0,682
2008,15,住院,15+,苗栗縣,0,251
2008,15,住院,15+,桃園市,0,3523
2008,15,住院,15+,高雄市,0,3926
2008,15,住院,15+,基隆市,0,655
2008,15,住院,15+,連江縣,0,2
2008,15,住院,15+,雲林縣,0,426
2008,15,住院,15+,新北市,0,2782
2008,15,住院,15+,新竹市,0,505
2008,15,住院,15+,新竹縣,0,218
2008,15,住院,15+,嘉義市,0,520
2008,15,住院,15+,嘉義縣,0,1031
2008,15,住院,15+,彰化縣,0,2107
2008,15,住院,15+,澎湖縣,0,40
2008,15,住院,3-4,台中市,1,113
2008,15,住院,3-4,台北市,3,181
2008,15,住院,3-4,台東縣,0,13
2008,15,住院,3-4,台南市,0,17
2008,15,住院,3-4,宜蘭縣,0,32
2008,15,住院,3-4,花蓮縣,0,15
2008,15,住院,3-4,金門縣,0,3
2008,15,住院,3-4,南投縣,0,7
2008,15,住院,3-4,屏東縣,0,15
2008,15,住院,3-4,苗栗縣,0,1
2008,15,住院,3-4,桃園市,0,108
2008,15,住院,3-4,高雄市,0,72
2008,15,住院,3-4,基隆市,0,12
2008,15,住院,3-4,連江縣,0,4
2008,15,住院,3-4,雲林縣,0,1
2008,15,住院,3-4,新北市,0,43
2008,15,住院,3-4,新竹市,0,23
2008,15,住院,3-4,新竹縣,0,10
2008,15,住院,3-4,嘉義市,0,19
2008,15,住院,3-4,嘉義縣,0,19
2008,15,住院,3-4,彰化縣,4,85
2008,15,住院,5-9,台中市,0,126
2008,15,住院,5-9,台北市,1,202
2008,15,住院,5-9,台東縣,0,18
2008,15,住院,5-9,台南市,0,35
2008,15,住院,5-9,宜蘭縣,0,39
2008,15,住院,5-9,花蓮縣,0,19
2008,15,住院,5-9,金門縣,1,3
2008,15,住院,5-9,南投縣,0,2
2008,15,住院,5-9,屏東縣,0,13
2008,15,住院,5-9,苗栗縣,0,1
2008,15,住院,5-9,桃園市,0,140
2008,15,住院,5-9,高雄市,0,123
2008,15,住院,5-9,基隆市,0,18
2008,15,住院,5-9,連江縣,0,1
2008,15,住院,5-9,雲林縣,0,3
2008,15,住院,5-9,新北市,0,60
2008,15,住院,5-9,新竹市,0,28
2008,15,住院,5-9,新竹縣,0,13
2008,15,住院,5-9,嘉義市,0,7
2008,15,住院,5-9,嘉義縣,0,28
2008,15,住院,5-9,彰化縣,4,78
2008,15,門診,0-2,台中市,140,25468
2008,15,門診,0-2,台北市,77,15072
2008,15,門診,0-2,台東縣,16,1412
2008,15,門診,0-2,台南市,124,14743
2008,15,門診,0-2,宜蘭縣,27,3340
2008,15,門診,0-2,花蓮縣,13,2263
2008,15,門診,0-2,金門縣,4,607
2008,15,門診,0-2,南投縣,53,4116
2008,15,門診,0-2,屏東縣,90,6430
2008,15,門診,0-2,苗栗縣,50,4550
2008,15,門診,0-2,桃園市,88,18645
2008,15,門診,0-2,高雄市,163,20196
2008,15,門診,0-2,基隆市,22,2537
2008,15,門診,0-2,連江縣,0,59
2008,15,門診,0-2,雲林縣,64,6511
2008,15,門診,0-2,新北市,131,25483
2008,15,門診,0-2,新竹市,13,3857
2008,15,門診,0-2,新竹縣,17,4344
2008,15,門診,0-2,嘉義市,21,4031
2008,15,門診,0-2,嘉義縣,23,2370
2008,15,門診,0-2,彰化縣,74,12763
2008,15,門診,0-2,澎湖縣,6,845
2008,15,門診,10-14,台中市,17,30482
2008,15,門診,10-14,台北市,20,21589
2008,15,門診,10-14,台東縣,3,1683
2008,15,門診,10-14,台南市,25,16455
2008,15,門診,10-14,宜蘭縣,6,4213
2008,15,門診,10-14,花蓮縣,0,2667
2008,15,門診,10-14,金門縣,0,645
2008,15,門診,10-14,南投縣,3,4994
2008,15,門診,10-14,屏東縣,21,7756
2008,15,門診,10-14,苗栗縣,2,4890
2008,15,門診,10-14,桃園市,18,19376
2008,15,門診,10-14,高雄市,38,24442
2008,15,門診,10-14,基隆市,3,3251
2008,15,門診,10-14,連江縣,0,51
2008,15,門診,10-14,雲林縣,6,6777
2008,15,門診,10-14,新北市,20,33709
2008,15,門診,10-14,新竹市,3,4100
2008,15,門診,10-14,新竹縣,12,4282
2008,15,門診,10-14,嘉義市,7,4195
2008,15,門診,10-14,嘉義縣,3,3383
2008,15,門診,10-14,彰化縣,12,13453
2008,15,門診,10-14,澎湖縣,0,1253
2008,15,門診,15+,台中市,29,483419
2008,15,門診,15+,台北市,34,531071
2008,15,門診,15+,台東縣,0,33696
2008,15,門診,15+,台南市,44,331595
2008,15,門診,15+,宜蘭縣,6,75500
2008,15,門診,15+,花蓮縣,0,60291
2008,15,門診,15+,金門縣,0,10118
2008,15,門診,15+,南投縣,3,80412
2008,15,門診,15+,屏東縣,3,141305
2008,15,門診,15+,苗栗縣,4,83315
2008,15,門診,15+,桃園市,13,299316
2008,15,門診,15+,高雄市,52,508901
2008,15,門診,15+,基隆市,5,69369
2008,15,門診,15+,連江縣,0,1149
2008,15,門診,15+,雲林縣,7,117265
2008,15,門診,15+,新北市,43,521134
2008,15,門診,15+,新竹市,5,69739
2008,15,門診,15+,新竹縣,9,61917
2008,15,門診,15+,嘉義市,8,81018
2008,15,門診,15+,嘉義縣,9,71389
2008,15,門診,15+,彰化縣,9,210139
2008,15,門診,15+,澎湖縣,0,25995
2008,15,門診,3-4,台中市,110,23033
2008,15,門診,3-4,台北市,106,14381
2008,15,門診,3-4,台東縣,11,1162
2008,15,門診,3-4,台南市,128,13492
2008,15,門診,3-4,宜蘭縣,44,3175
2008,15,門診,3-4,花蓮縣,4,2057
2008,15,門診,3-4,金門縣,0,578
2008,15,門診,3-4,南投縣,41,3752
2008,15,門診,3-4,屏東縣,89,5883
2008,15,門診,3-4,苗栗縣,27,3790
2008,15,門診,3-4,桃園市,87,15874
2008,15,門診,3-4,高雄市,158,17576
2008,15,門診,3-4,基隆市,22,2240
2008,15,門診,3-4,連江縣,1,48
2008,15,門診,3-4,雲林縣,62,5886
2008,15,門診,3-4,新北市,118,25213
2008,15,門診,3-4,新竹市,20,3487
2008,15,門診,3-4,新竹縣,14,3812
2008,15,門診,3-4,嘉義市,34,3427
2008,15,門診,3-4,嘉義縣,19,2477
2008,15,門診,3-4,彰化縣,61,11618
2008,15,門診,3-4,澎湖縣,4,816
2008,15,門診,5-9,台中市,110,49486
2008,15,門診,5-9,台北市,172,33087
2008,15,門診,5-9,台東縣,12,2248
2008,15,門診,5-9,台南市,174,27162
2008,15,門診,5-9,宜蘭縣,28,6306
2008,15,門診,5-9,花蓮縣,18,4053
2008,15,門診,5-9,金門縣,8,1079
2008,15,門診,5-9,南投縣,29,7740
2008,15,門診,5-9,屏東縣,106,11555
2008,15,門診,5-9,苗栗縣,34,7950
2008,15,門診,5-9,桃園市,112,35263
2008,15,門診,5-9,高雄市,200,39511
2008,15,門診,5-9,基隆市,18,5095
2008,15,門診,5-9,連江縣,0,93
2008,15,門診,5-9,雲林縣,59,11896
2008,15,門診,5-9,新北市,184,56732
2008,15,門診,5-9,新竹市,27,7708
2008,15,門診,5-9,新竹縣,36,7644
2008,15,門診,5-9,嘉義市,24,7097
2008,15,門診,5-9,嘉義縣,12,5387
2008,15,門診,5-9,彰化縣,75,22316
2008,15,門診,5-9,澎湖縣,5,1611
2008,16,住院,0-2,台中市,2,188
2008,16,住院,0-2,台北市,6,300
2008,16,住院,0-2,台東縣,1,26
2008,16,住院,0-2,台南市,2,43
2008,16,住院,0-2,宜蘭縣,0,81
2008,16,住院,0-2,花蓮縣,0,23
2008,16,住院,0-2,金門縣,0,9
2008,16,住院,0-2,南投縣,0,6
2008,16,住院,0-2,屏東縣,1,36
2008,16,住院,0-2,苗栗縣,0,1
2008,16,住院,0-2,桃園市,0,221
2008,16,住院,0-2,高雄市,4,190
2008,16,住院,0-2,基隆市,0,26
2008,16,住院,0-2,雲林縣,0,4
2008,16,住院,0-2,新北市,0,64
2008,16,住院,0-2,新竹市,1,70
2008,16,住院,0-2,新竹縣,0,16
2008,16,住院,0-2,嘉義市,0,26
2008,16,住院,0-2,嘉義縣,0,27
2008,16,住院,0-2,彰化縣,8,156
2008,16,住院,10-14,台中市,0,75
2008,16,住院,10-14,台北市,0,82
2008,16,住院,10-14,台東縣,0,7
2008,16,住院,10-14,台南市,0,9
2008,16,住院,10-14,宜蘭縣,0,7
2008,16,住院,10-14,花蓮縣,0,7
2008,16,住院,10-14,金門縣,0,1
2008,16,住院,10-14,南投縣,0,2
2008,16,住院,10-14,屏東縣,0,10
2008,16,住院,10-14,苗栗縣,0,2
2008,16,住院,10-14,桃園市,0,53
2008,16,住院,10-14,高雄市,0,43
2008,16,住院,10-14,基隆市,0,8
2008,16,住院,10-14,雲林縣,0,3
2008,16,住院,10-14,新北市,0,16
2008,16,住院,10-14,新竹市,0,2
2008,16,住院,10-14,新竹縣,0,2
2008,16,住院,10-14,嘉義市,0,2
2008,16,住院,10-14,嘉義縣,0,9
2008,16,住院,10-14,彰化縣,1,41
2008,16,住院,15+,台中市,0,4391
2008,16,住院,15+,台北市,0,7569
2008,16,住院,15+,台東縣,0,361
2008,16,住院,15+,台南市,0,1673
2008,16,住院,15+,宜蘭縣,0,842
2008,16,住院,15+,花蓮縣,0,782
2008,16,住院,15+,金門縣,0,58
2008,16,住院,15+,南投縣,0,198
2008,16,住院,15+,屏東縣,0,584
2008,16,住院,15+,苗栗縣,0,215
2008,16,住院,15+,桃園市,0,3285
2008,16,住院,15+,高雄市,0,3807
2008,16,住院,15+,基隆市,0,652
2008,16,住院,15+,連江縣,0,11
2008,16,住院,15+,雲林縣,0,399
2008,16,住院,15+,新北市,0,2620
2008,16,住院,15+,新竹市,0,618
2008,16,住院,15+,新竹縣,0,238
2008,16,住院,15+,嘉義市,0,510
2008,16,住院,15+,嘉義縣,0,943
2008,16,住院,15+,彰化縣,1,2026
2008,16,住院,15+,澎湖縣,0,26
2008,16,住院,3-4,台中市,0,103
2008,16,住院,3-4,台北市,1,142
2008,16,住院,3-4,台東縣,0,9
2008,16,住院,3-4,台南市,0,18
2008,16,住院,3-4,宜蘭縣,0,44
2008,16,住院,3-4,花蓮縣,0,14
2008,16,住院,3-4,金門縣,0,3
2008,16,住院,3-4,南投縣,0,3
2008,16,住院,3-4,屏東縣,0,18
2008,16,住院,3-4,苗栗縣,0,2
2008,16,住院,3-4,桃園市,1,95
2008,16,住院,3-4,高雄市,0,80
2008,16,住院,3-4,基隆市,0,15
2008,16,住院,3-4,新北市,0,42
2008,16,住院,3-4,新竹市,0,31
2008,16,住院,3-4,新竹縣,0,8
2008,16,住院,3-4,嘉義市,0,9
2008,16,住院,3-4,嘉義縣,0,23
2008,16,住院,3-4,彰化縣,12,98
2008,16,住院,5-9,台中市,2,115
2008,16,住院,5-9,台北市,1,195
2008,16,住院,5-9,台東縣,0,16
2008,16,住院,5-9,台南市,0,24
2008,16,住院,5-9,宜蘭縣,0,44
2008,16,住院,5-9,花蓮縣,0,20
2008,16,住院,5-9,金門縣,0,3
2008,16,住院,5-9,南投縣,0,3
2008,16,住院,5-9,屏東縣,0,12
2008,16,住院,5-9,苗栗縣,0,2
2008,16,住院,5-9,桃園市,0,132
2008,16,住院,5-9,高雄市,1,123
2008,16,住院,5-9,基隆市,0,15
2008,16,住院,5-9,雲林縣,0,3
2008,16,住院,5-9,新北市,0,40
2008,16,住院,5-9,新竹市,0,29
2008,16,住院,5-9,新竹縣,0,10
2008,16,住院,5-9,嘉義市,0,15
2008,16,住院,5-9,嘉義縣,0,31
2008,16,住院,5-9,彰化縣,2,88
2008,16,門診,0-2,台中市,160,25372
2008,16,門診,0-2,台北市,126,15513
2008,16,門診,0-2,台東縣,24,1390
2008,16,門診,0-2,台南市,190,14473
2008,16,門診,0-2,宜蘭縣,81,3494
2008,16,門診,0-2,花蓮縣,8,2054
2008,16,門診,0-2,金門縣,4,661
2008,16,門診,0-2,南投縣,63,4275
2008,16,門診,0-2,屏東縣,64,6178
2008,16,門診,0-2,苗栗縣,46,4523
2008,16,門診,0-2,桃園市,142,18915
2008,16,門診,0-2,高雄市,223,19906
2008,16,門診,0-2,基隆市,12,2475
2008,16,門診,0-2,連江縣,0,82
2008,16,門診,0-2,雲林縣,91,6201
2008,16,門診,0-2,新北市,166,25574
2008,16,門診,0-2,新竹市,23,4141
2008,16,門診,0-2,新竹縣,17,4355
2008,16,門診,0-2,嘉義市,29,3940
2008,16,門診,0-2,嘉義縣,27,2290
2008,16,門診,0-2,彰化縣,113,12694
2008,16,門診,0-2,澎湖縣,9,782
2008,16,門診,10-14,台中市,20,27785
2008,16,門診,10-14,台北市,20,20848
2008,16,門診,10-14,台東縣,1,1699
2008,16,門診,10-14,台南市,30,15331
2008,16,門診,10-14,宜蘭縣,7,3737
2008,16,門診,10-14,花蓮縣,0,2508
2008,16,門診,10-14,金門縣,0,656
2008,16,門診,10-14,南投縣,4,4754
2008,16,門診,10-14,屏東縣,23,7573
2008,16,門診,10-14,苗栗縣,3,4645
2008,16,門診,10-14,桃園市,13,18027
2008,16,門診,10-14,高雄市,43,23314
2008,16,門診,10-14,基隆市,3,3242
2008,16,門診,10-14,連江縣,0,63
2008,16,門診,10-14,雲林縣,5,6510
2008,16,門診,10-14,新北市,32,32007
2008,16,門診,10-14,新竹市,5,3884
2008,16,門診,10-14,新竹縣,4,3988
2008,16,門診,10-14,嘉義市,2,4259
2008,16,門診,10-14,嘉義縣,5,3269
2008,16,門診,10-14,彰化縣,18,13148
2008,16,門診,10-14,澎湖縣,2,1267
2008,16,門診,15+,台中市,44,470866
2008,16,門診,15+,台北市,30,522889
2008,16,門診,15+,台東縣,3,33011
2008,16,門診,15+,台南市,50,320489
2008,16,門診,15+,宜蘭縣,17,72514
2008,16,門診,15+,花蓮縣,0,58713
2008,16,門診,15+,金門縣,0,10104
2008,16,門診,15+,南投縣,3,79204
2008,16,門診,15+,屏東縣,7,135360
2008,16,門診,15+,苗栗縣,1,79823
2008,16,門診,15+,桃園市,10,294034
2008,16,門診,15+,高雄市,43,499370
2008,16,門診,15+,基隆市,2,67155
2008,16,門診,15+,連江縣,0,1141
2008,16,門診,15+,雲林縣,8,114145
2008,16,門診,15+,新北市,34,505014
2008,16,門診,15+,新竹市,4,72596
2008,16,門診,15+,新竹縣,4,60333
2008,16,門診,15+,嘉義市,8,78905
2008,16,門診,15+,嘉義縣,15,68932
2008,16,門診,15+,彰化縣,17,205084
2008,16,門診,15+,澎湖縣,0,25093
2008,16,門診,3-4,台中市,134,22297
2008,16,門診,3-4,台北市,155,14543
2008,16,門診,3-4,台東縣,20,1087
2008,16,門診,3-4,台南市,205,12602
2008,16,門診,3-4,宜蘭縣,78,3223
2008,16,門診,3-4,花蓮縣,8,2034
2008,16,門診,3-4,金門縣,1,581
2008,16,門診,3-4,南投縣,61,3723
2008,16,門診,3-4,屏東縣,86,5530
2008,16,門診,3-4,苗栗縣,33,3753
2008,16,門診,3-4,桃園市,101,15415
2008,16,門診,3-4,高雄市,237,17002
2008,16,門診,3-4,基隆市,28,2243
2008,16,門診,3-4,連江縣,0,47
2008,16,門診,3-4,雲林縣,97,5704
2008,16,門診,3-4,新北市,172,24682
2008,16,門診,3-4,新竹市,19,3619
2008,16,門診,3-4,新竹縣,30,3685
2008,16,門診,3-4,嘉義市,29,3081
2008,16,門診,3-4,嘉義縣,22,2272
2008,16,門診,3-4,彰化縣,110,11172
2008,16,門診,3-4,澎湖縣,6,742
2008,16,門診,5-9,台中市,178,46149
2008,16,門診,5-9,台北市,196,32770
2008,16,門診,5-9,台東縣,30,2184
2008,16,門診,5-9,台南市,151,25325
2008,16,門診,5-9,宜蘭縣,52,5957
2008,16,門診,5-9,花蓮縣,19,4299
2008,16,門診,5-9,金門縣,4,1163
2008,16,門診,5-9,南投縣,40,7718
2008,16,門診,5-9,屏東縣,92,11154
2008,16,門診,5-9,苗栗縣,48,7389
2008,16,門診,5-9,桃園市,147,33911
2008,16,門診,5-9,高雄市,324,37893
2008,16,門診,5-9,基隆市,31,4938
2008,16,門診,5-9,連江縣,0,102
2008,16,門診,5-9,雲林縣,102,11348
2008,16,門診,5-9,新北市,225,54988
2008,16,門診,5-9,新竹市,27,7588
2008,16,門診,5-9,新竹縣,54,7026
2008,16,門診,5-9,嘉義市,35,6610
2008,16,門診,5-9,嘉義縣,15,5038
2008,16,門診,5-9,彰化縣,131,22009
2008,16,門診,5-9,澎湖縣,3,1607
2008,17,住院,0-2,台中市,5,183
2008,17,住院,0-2,台北市,6,310
2008,17,住院,0-2,台東縣,0,15
2008,17,住院,0-2,台南市,0,25
